Date,Open,High,Low,Close,Adj Close,Volume
2020-10-26,59.480000,59.650002,59.290001,59.450001,59.450001,1528100
2020-10-27,60.230000,60.230000,59.500000,59.900002,59.900002,2241200
2020-10-28,58.849998,58.939999,58.189999,58.570000,58.570000,3245700
2020-10-29,57.669998,57.820000,57.160000,57.599998,57.599998,1834600
2020-10-30,57.650002,57.650002,56.860001,57.439999,57.439999,1199900
2020-11-02,57.970001,59.389999,57.919998,59.040001,59.040001,1994500
2020-11-03,60.040001,60.560001,59.599998,60.150002,60.150002,2018200
2020-11-04,60.580002,61.680000,60.380001,61.439999,61.439999,1133500
2020-11-05,61.400002,62.419998,61.270000,62.330002,62.330002,1194900
2020-11-06,63.099998,63.970001,62.299999,63.450001,63.450001,2086400
2020-11-09,66.889999,68.019997,66.589996,66.760002,66.760002,2081100
2020-11-10,66.660004,67.690002,66.500000,67.320000,67.320000,1694500
2020-11-11,66.760002,66.760002,65.860001,66.489998,66.489998,1538500
2020-11-12,66.029999,66.680000,64.930000,66.599998,66.599998,1800600
2020-11-13,66.989998,67.980003,66.519997,67.919998,67.919998,1714600
2020-11-16,69.050003,69.250000,68.510002,68.720001,68.720001,1025200
2020-11-17,68.949997,69.470001,68.389999,68.680000,68.680000,1241200
2020-11-18,69.290001,69.379997,67.040001,67.160004,67.160004,2072600
2020-11-19,66.690002,66.849998,66.250000,66.620003,66.620003,1373500
2020-11-20,67.209999,67.379997,66.190002,66.500000,66.500000,1381900
2020-11-23,67.169998,67.339996,66.279999,66.610001,66.610001,871100
2020-11-24,68.720001,70.000000,68.529999,69.589996,69.589996,1939800
2020-11-25,67.919998,68.699997,67.790001,68.209999,68.209999,1613000
2020-11-27,69.379997,69.379997,67.660004,67.820000,67.820000,1171600
2020-11-30,67.669998,69.110001,67.349998,69.000000,69.000000,1421400
2020-12-01,69.820000,70.750000,69.639999,70.230003,70.230003,1251100
2020-12-02,69.330002,69.940002,69.019997,69.730003,69.730003,1020200
2020-12-03,68.500000,68.610001,67.510002,68.029999,68.029999,1248700
2020-12-04,68.849998,68.930000,67.309998,67.500000,67.500000,2099100
2020-12-07,67.089996,67.629997,67.070000,67.330002,67.330002,1765300
2020-12-08,67.250000,67.930000,67.139999,67.379997,67.379997,963100
2020-12-09,68.790001,68.900002,66.680000,67.449997,67.449997,1590000
2020-12-10,66.570000,67.709999,65.849998,67.470001,67.470001,1397600
2020-12-11,67.180000,68.139999,66.750000,66.760002,66.760002,1938700
2020-12-14,66.769997,67.809998,66.330002,66.599998,66.599998,1832400
2020-12-15,67.459999,68.820000,67.150002,68.790001,68.790001,1727800
2020-12-16,68.820000,69.339996,68.230003,69.150002,69.150002,1450500
2020-12-17,70.250000,70.949997,69.769997,70.349998,70.349998,1899400
2020-12-18,69.000000,70.440002,68.830002,70.440002,70.440002,1700000
2020-12-21,67.889999,68.400002,67.379997,68.349998,68.349998,1666100
2020-12-22,68.589996,68.779999,67.849998,68.419998,68.419998,720700
2020-12-23,68.870003,69.519997,68.800003,69.070000,69.070000,546500
2020-12-24,70.029999,70.080002,69.160004,69.550003,69.550003,309700
2020-12-28,70.260002,70.610001,69.620003,70.599998,70.599998,775400
2020-12-29,71.070000,71.400002,70.690002,70.720001,70.720001,677800
2020-12-30,71.279999,72.379997,71.250000,72.000000,72.000000,1109200
2020-12-31,72.440002,72.440002,71.760002,72.260002,72.260002,810700
2021-01-04,72.290001,72.290001,69.599998,70.000000,70.000000,1236500
2021-01-05,70.959999,71.680000,70.790001,71.540001,71.540001,639000
2021-01-06,71.489998,72.000000,70.580002,70.779999,70.779999,1311800
2021-01-07,70.849998,72.279999,70.769997,71.959999,71.959999,1236300
2021-01-08,72.510002,72.910004,72.010002,72.910004,72.910004,831500
2021-01-11,72.500000,73.360001,71.970001,73.220001,73.220001,1056000
2021-01-12,74.279999,74.900002,73.940002,74.809998,74.809998,1032800
2021-01-13,74.279999,75.680000,73.589996,75.660004,75.660004,1458300
2021-01-14,75.639999,75.900002,75.129997,75.669998,75.669998,1052700
2021-01-15,75.559998,75.839996,74.470001,74.879997,74.879997,1722200
2021-01-19,76.120003,76.120003,74.209999,74.910004,74.910004,2267400
2021-01-20,74.790001,75.290001,74.489998,75.199997,75.199997,847600
2021-01-21,74.669998,74.809998,73.150002,73.440002,73.440002,1487000
2021-01-22,72.080002,74.260002,71.930000,74.250000,74.250000,1101000
2021-01-25,74.680000,74.989998,73.449997,73.680000,73.680000,1502500
2021-01-26,73.110001,73.580002,72.550003,72.800003,72.800003,1694400
2021-01-27,70.720001,70.930000,68.790001,68.839996,68.839996,2304800
2021-01-28,69.290001,72.080002,69.089996,72.000000,72.000000,4507400
2021-01-29,71.379997,72.120003,70.669998,72.099998,72.099998,2553900
2021-02-01,75.809998,78.400002,75.750000,78.000000,78.000000,2514900
2021-02-02,81.400002,81.680000,79.000000,80.080002,80.080002,1967300
2021-02-03,79.930000,81.209999,79.739998,80.250000,80.250000,1644400
2021-02-04,80.250000,80.250000,79.169998,79.750000,79.750000,1032000
2021-02-05,80.349998,81.970001,80.029999,81.949997,81.949997,1125700
2021-02-08,81.580002,82.620003,81.580002,82.500000,82.500000,1507300
2021-02-09,81.910004,82.209999,81.279999,81.470001,81.470001,939900
2021-02-10,81.529999,81.830002,80.629997,80.750000,80.750000,1389400
2021-02-11,80.779999,81.220001,80.199997,81.010002,81.010002,1633400
2021-02-12,81.680000,83.260002,81.459999,83.040001,83.040001,1042700
2021-02-16,84.699997,84.699997,82.580002,83.070000,83.070000,1337600
2021-02-17,81.839996,81.870003,80.940002,81.809998,81.809998,1038200
2021-02-18,80.849998,81.709999,80.839996,81.449997,81.449997,899200
2021-02-19,80.820000,83.070000,80.820000,82.709999,82.709999,1877300
2021-02-22,81.769997,81.820000,79.980003,80.099998,80.099998,1260900
2021-02-23,79.510002,80.430000,78.400002,79.870003,79.870003,1297900
2021-02-24,82.150002,83.129997,81.529999,82.500000,82.500000,1824700
2021-02-25,82.790001,83.599998,81.779999,81.800003,81.800003,1630700
2021-02-26,78.470001,79.519997,77.459999,79.139999,79.139999,1190300
2021-03-01,80.930000,82.339996,80.669998,82.139999,82.139999,1092900
2021-03-02,82.160004,83.330002,81.879997,82.800003,82.800003,1502300
2021-03-03,83.820000,83.930000,81.410004,82.510002,82.510002,1078100
2021-03-04,82.160004,83.169998,80.050003,81.330002,81.330002,1762800
2021-03-05,82.169998,82.470001,80.010002,82.279999,82.279999,1587900
2021-03-08,81.459999,82.370003,80.790001,81.190002,81.190002,1487000
2021-03-09,81.870003,83.870003,81.870003,83.260002,83.260002,2219400
2021-03-10,82.430000,83.790001,82.430000,82.989998,82.989998,978600
2021-03-11,83.660004,84.000000,83.029999,83.750000,83.750000,1163900
2021-03-12,82.370003,82.550003,80.660004,80.769997,80.769997,1168600
2021-03-15,80.410004,80.860001,79.550003,80.820000,80.820000,758600
2021-03-16,80.800003,83.059998,80.699997,82.330002,82.330002,1714300
2021-03-17,80.239998,80.279999,78.739998,79.699997,79.699997,1857500
2021-03-18,79.500000,79.500000,77.519997,77.800003,77.800003,1393200
2021-03-19,78.410004,79.029999,77.610001,77.800003,77.800003,2557000
2021-03-22,77.910004,78.849998,76.989998,78.300003,78.300003,1269500
2021-03-23,79.139999,80.000000,78.519997,79.169998,79.169998,951500
2021-03-24,79.000000,79.099998,77.809998,78.059998,78.059998,1330000
2021-03-25,77.290001,78.379997,76.739998,78.199997,78.199997,1173200
2021-03-26,79.910004,80.839996,78.000000,79.459999,79.459999,1148300
2021-03-29,78.379997,79.099998,78.150002,78.800003,78.800003,744000
2021-03-30,80.080002,81.220001,79.910004,80.900002,80.900002,949400
2021-03-31,78.680000,78.769997,76.910004,77.690002,77.690002,2762000
2021-04-01,77.349998,78.139999,77.070000,77.739998,77.739998,1711000
